id,room_id,start_at,end_at,user_id,rssi
1596,1,2022-10-19 11:40:47,2022-10-19 12:28:34,11,-74
1597,1,2022-10-19 12:05:47,2022-10-19 15:53:45,2,-75
1598,1,2022-10-19 12:21:43,2022-10-19 12:33:08,6,-77
1599,1,2022-10-19 12:21:43,2022-10-19 12:33:08,4,-77
1600,1,2022-10-19 12:21:44,2022-10-19 12:33:09,5,-72
1601,1,2022-10-19 12:30:51,2022-10-19 14:01:59,11,-75
1602,1,2022-10-19 12:44:31,2022-10-19 14:43:04,17,-69
1603,1,2022-10-19 13:41:29,2022-10-19 14:06:34,4,-63
1604,1,2022-10-19 13:41:29,2022-10-19 14:02:00,6,-67
1605,1,2022-10-19 13:41:30,2022-10-19 14:36:13,5,-77
1606,1,2022-10-19 14:04:17,2022-10-19 15:46:54,11,-62
1607,1,2022-10-19 14:04:17,2022-10-19 14:15:42,6,-70
1608,1,2022-10-19 14:08:52,2022-10-19 14:24:49,4,-55
1609,1,2022-10-19 14:17:59,2022-10-19 14:56:44,6,-80
1610,1,2022-10-19 14:27:06,2022-10-19 14:36:14,4,-55
1611,1,2022-10-19 14:45:21,2022-10-19 15:51:28,17,-62
1612,1,2022-10-19 14:59:01,2022-10-19 18:03:26,6,-70
1613,1,2022-10-19 15:49:11,2022-10-19 16:21:05,11,-61
1614,1,2022-10-19 15:58:18,2022-10-19 16:21:06,2,-64
1615,1,2022-10-19 16:07:24,2022-10-19 16:21:06,5,-80
1616,3,2022-10-19 16:09:00,2022-10-19 16:16:31,4,-92
1617,1,2022-10-19 16:16:32,2022-10-19 16:21:06,4,-72
1618,1,2022-10-19 16:23:23,2022-10-19 16:41:35,4,-66
1619,1,2022-10-19 16:43:52,2022-10-19 17:38:25,4,-58
1620,1,2022-10-19 17:40:42,2022-10-19 18:03:26,4,-59
1621,1,2022-10-20 08:12:36,2022-10-20 08:15:26,1,-80
1622,5,2022-10-20 08:15:26,2022-10-20 17:32:20,1,-68
1623,1,2022-10-20 08:35:20,2022-10-20 08:51:15,6,-76
1624,2,2022-10-20 08:40:48,2022-10-20 08:43:23,2,-90
1625,2,2022-10-20 11:44:17,2022-10-20 11:46:53,6,-92
1626,1,2022-10-20 11:46:13,2022-10-20 12:04:25,20,-79
1627,2,2022-10-20 11:54:38,2022-10-20 11:57:14,6,-93
1628,1,2022-10-20 12:02:08,2022-10-20 18:13:05,11,-54
1629,2,2022-10-20 12:07:35,2022-10-20 12:08:59,2,-88
1630,1,2022-10-20 12:08:59,2022-10-20 15:11:04,2,-70
1631,1,2022-10-20 12:08:59,2022-10-20 12:47:47,5,-79
1632,2,2022-10-20 12:10:10,2022-10-20 12:11:16,6,-76
1633,1,2022-10-20 12:11:17,2022-10-20 12:47:47,10,-82
1634,1,2022-10-20 12:11:17,2022-10-20 12:47:48,6,-68
1635,1,2022-10-20 12:18:07,2022-10-20 12:47:48,4,-62
1636,1,2022-10-20 12:43:12,2022-10-20 12:45:30,20,-84
1637,1,2022-10-20 12:50:05,2022-10-20 14:05:07,10,-68
1638,1,2022-10-20 13:49:12,2022-10-20 16:21:38,17,-65
1639,1,2022-10-20 14:21:03,2022-10-20 15:29:16,6,-62
1640,1,2022-10-20 15:13:21,2022-10-20 18:10:47,2,-65
1641,1,2022-10-20 15:31:33,2022-10-20 16:17:04,6,-66
1642,1,2022-10-20 15:33:50,2022-10-20 15:54:18,7,-73
1643,1,2022-10-20 15:56:36,2022-10-20 17:18:31,7,-66
1644,1,2022-10-20 16:19:21,2022-10-20 18:13:05,6,-75
1645,1,2022-10-20 16:23:55,2022-10-20 16:35:17,17,-69
1646,1,2022-10-20 16:37:34,2022-10-20 17:00:20,17,-69
1647,3,2022-10-20 18:14:49,2022-10-20 18:20:58,2,-88
1648,1,2022-10-21 08:13:08,2022-10-21 08:19:19,1,-81
1649,5,2022-10-21 08:19:20,2022-10-21 16:47:18,1,-70
1650,1,2022-10-21 10:38:34,2022-10-21 16:15:15,6,-66
1651,1,2022-10-21 12:14:03,2022-10-21 12:25:25,2,-72
1652,1,2022-10-21 12:27:42,2022-10-21 16:15:16,2,-48
1653,3,2022-10-21 13:49:01,2022-10-21 13:49:33,13,-92
1654,1,2022-10-21 13:49:34,2022-10-21 15:57:02,13,-68
